date/heure;PM10;TEMP;HUMI
2025-11-17T00:00:00+01:00;48;18,9;47,4
2025-11-16T23:00:00+01:00;47;19,3;47,6
2025-11-16T22:00:00+01:00;54;19,8;48,3
2025-11-16T21:00:00+01:00;57;20,2;49,3
2025-11-16T20:00:00+01:00;66;20,6;50,9
2025-11-16T19:00:00+01:00;81;20,8;53,6
2025-11-16T18:00:00+01:00;79;20,7;55,6
2025-11-16T17:00:00+01:00;71;20,7;56,1
2025-11-16T16:00:00+01:00;72;20,5;55,7
2025-11-16T15:00:00+01:00;64;20,3;55,5
2025-11-16T14:00:00+01:00;57;20;55,6
2025-11-16T13:00:00+01:00;61;19,8;56,3
2025-11-16T12:00:00+01:00;59;19,7;56,3
2025-11-16T11:00:00+01:00;53;19,4;56,4
2025-11-16T10:00:00+01:00;58;19,7;55,5
2025-11-16T09:00:00+01:00;45;19,4;57,3
2025-11-16T08:00:00+01:00;35;19,3;58,1
2025-11-16T07:00:00+01:00;28;19,3;57,8
2025-11-16T06:00:00+01:00;16;19,4;58
2025-11-16T05:00:00+01:00;8;19,4;57,8
2025-11-16T04:00:00+01:00;10;19,6;58,1
2025-11-16T03:00:00+01:00;31;19,7;58,3
2025-11-16T02:00:00+01:00;24;19,9;57,9
2025-11-16T01:00:00+01:00;42;20,7;57,2
2025-11-16T00:00:00+01:00;47;20,9;56,8
2025-11-15T23:00:00+01:00;53;21,1;56,6
2025-11-15T22:00:00+01:00;58;21,3;56,3
2025-11-15T21:00:00+01:00;55;21,5;56,5
2025-11-15T20:00:00+01:00;75;21,8;57
2025-11-15T19:00:00+01:00;83;21,9;59,3
2025-11-15T18:00:00+01:00;86;21,7;61,5
2025-11-15T17:00:00+01:00;85;21,7;60,9
2025-11-15T16:00:00+01:00;74;21,8;57,6
2025-11-15T15:00:00+01:00;76;21,7;55,4
2025-11-15T14:00:00+01:00;70;21,7;55
2025-11-15T13:00:00+01:00;62;21,6;55,1
2025-11-15T12:00:00+01:00;56;21,4;55,7
2025-11-15T11:00:00+01:00;60;21,2;56,6
2025-11-15T10:00:00+01:00;73;21,1;57
2025-11-15T09:00:00+01:00;64;21,1;57,2
2025-11-15T08:00:00+01:00;54;21;57,3
2025-11-15T07:00:00+01:00;49;20,8;57,4
2025-11-15T06:00:00+01:00;17;20,6;58
2025-11-15T05:00:00+01:00;11;20,5;58,4
2025-11-15T04:00:00+01:00;26;20,6;58,4
2025-11-15T03:00:00+01:00;39;21,1;56,9
2025-11-15T02:00:00+01:00;36;21,3;56,2
2025-11-15T01:00:00+01:00;59;21,9;55,4
2025-11-15T00:00:00+01:00;73;22,2;55,3
2025-11-14T23:00:00+01:00;86;22,4;54,2
2025-11-14T22:00:00+01:00;106;22,8;52,8
2025-11-14T21:00:00+01:00;132;23,2;51,3
2025-11-14T20:00:00+01:00;132;23,6;50,7
2025-11-14T19:00:00+01:00;150;23,8;49,8
2025-11-14T18:00:00+01:00;141;23,7;49,2
2025-11-14T17:00:00+01:00;125;23,3;49,4
2025-11-14T16:00:00+01:00;108;23;49,4
2025-11-14T15:00:00+01:00;99;22,5;50,3
2025-11-14T14:00:00+01:00;93;22,3;50,4
2025-11-14T13:00:00+01:00;107;22;50,6
2025-11-14T12:00:00+01:00;87;21,8;49,9
2025-11-14T11:00:00+01:00;94;21,8;49,6
2025-11-14T10:00:00+01:00;122;22;49,8
2025-11-14T09:00:00+01:00;111;21,8;50,7
2025-11-14T08:00:00+01:00;88;21,6;49,8
2025-11-14T07:00:00+01:00;69;21,3;47,1
2025-11-14T06:00:00+01:00;23;20,6;47,1
2025-11-14T05:00:00+01:00;ND;20,2;49,5
2025-11-14T04:00:00+01:00;ND;ND;ND
2025-11-14T03:00:00+01:00;ND;ND;ND
2025-11-14T02:00:00+01:00;16;20,7;51,3
2025-11-14T01:00:00+01:00;44;21,3;51,3
2025-11-14T00:00:00+01:00;40;21,5;51,6
2025-11-13T23:00:00+01:00;54;21,6;51,5
2025-11-13T22:00:00+01:00;77;22;51,2
2025-11-13T21:00:00+01:00;101;22,5;50,8
2025-11-13T20:00:00+01:00;119;22,8;50,8
2025-11-13T19:00:00+01:00;134;22,9;51,7
2025-11-13T18:00:00+01:00;120;22,6;51,8
2025-11-13T17:00:00+01:00;104;22;51,4
2025-11-13T16:00:00+01:00;90;21,7;50,8
2025-11-13T15:00:00+01:00;79;21,4;50,4
2025-11-13T14:00:00+01:00;87;21,3;50
2025-11-13T13:00:00+01:00;83;21;49,7
2025-11-13T12:00:00+01:00;83;20,9;49,5
2025-11-13T11:00:00+01:00;95;20,8;49,6
2025-11-13T10:00:00+01:00;146;20,9;50,3
2025-11-13T09:00:00+01:00;130;20,7;50,5
2025-11-13T08:00:00+01:00;97;20,5;49,8
2025-11-13T07:00:00+01:00;64;20,2;49,6
2025-11-13T06:00:00+01:00;27;19,8;50,4
2025-11-13T05:00:00+01:00;8;19,7;51,1
2025-11-13T04:00:00+01:00;9;19,8;51,2
2025-11-13T03:00:00+01:00;10;19,8;51,8
2025-11-13T02:00:00+01:00;22;19,6;52,5
2025-11-13T01:00:00+01:00;49;20;52,4
2025-11-13T00:00:00+01:00;53;20,3;53,1
2025-11-12T23:00:00+01:00;59;20,6;52,9
